大考中心字彙表 LEVEL 1 (整理後，無KK音標)

a/an art. 一
fine adj.美好的；健康的 n. 罰金 v. 使純；處以罰金
finger n. 手指
finish vt. 完成
fire n.火 vi., vt. 開火 (2) vt.開除
first adj. 第一的
fish n. 魚
five n. 五
floor n. 地板
flower n. 花
fly n. 蒼蠅 (2) vi.飛
fog n. 霧
follow vt. 跟隨
food n. 食物
foot n. 腳
for prep. 為了
force n. 力量
foreign adj. 外國的
forest n. 森林
forget vt. 忘記
fork n. 叉子
forty n. 四十
four n. 四
fourteen n. 十四
free adj. 自由的
fresh adj. 新鮮的
Friday/Fri. n. 星期五
friend n. 朋友
frog n. 青蛙
from prep. 從
front n. 前面
fruit n. 水果
full adj. 滿的
fun n. 樂趣
funny adj. 有趣的
game n. 遊戲
garden n. 花園
gas n. 汽油
general adj. 一般的
get vt. 獲得
ghost n. 幽靈
gift n. 禮物
girl n. 女孩
give vt. 給
glad adj. 高興的
glass n. 玻璃
glasses n. 眼鏡
go vi. 去
god/goddess n. 神/女神
gold n. 黃金
good adj. 好的
good-bye/goodbye/bye-bye/bye n. 再見
goose n. 鵝
grand adj. 雄偉的
grandchild n. 孫子女
granddaughter n 孫女
grandfather/grandpa / n 爺爺
grandmother/grandma n. 奶奶
grandson n. 孫子
grass n. 草
gray/grey adj. 灰色的
great adj. 極好的
green adj. 綠色的
ground n. 地面
group n. 群組
grow vi. 生長
guess vt. 猜測
guest n. 客人
guide n. 導遊
gun n. 槍
hair n. 毛髮
haircut n. 理髮
half n. 一半
ham n. 火腿
hand n. 手
happen vi. 發生
happy adj. 高興的
hard adj. 堅硬的 adv. 努力地
hat n. 帽子
hate vt. 討厭
have vt. 擁有
he n. 他
head n. 頭
health n. 健康
hear vt. 聽見
heart n. 心臟
heat vt. 使…加熱
heavy adj. 重的
hello n. 嗨
help vt. 幫助
her(s) pron. 她的
here adv. 這裡
high adj. 高的
hill n. 小山
him pron. 他(受格)
his pron. 他的
history n. 歷史
hit vt. 打；擊中
hold vt. 握著
hole n. 洞
holiday n. 假日
home n. 家
homework n. 家庭作業
hope vt. 希望
horse n. 馬
hot adj. 熱的
hour n. 小時
house n. 房子
how adv. 如何
huge adj. 巨大的
human n. 人類
hundred n. 一百
hungry adj. 飢餓的
hurt n., vi., vt. (使)受傷
husband n. 丈夫；I n. (主格)我
ice n. 冰
idea n. 主意
if conj. 如果
important adj. 重要的
in prep. 在…裡面
inch n. 英吋
inside n. 內部
interest n. 興趣
into prep. 到…裡
iron n. 鐵
is vi. (第三人稱)是
it pron. 它
its pron. 它的
jam n. (1) 堵塞；果醬
January/Jan. n. 一月
job n. 工作
join vt. 參加
joke n. 玩笑
joy n. 歡樂
juice n. 果汁
July/Jul. n. 七月
jump vi. 跳
June/Jun. n. 六月
just adj.正直的 adv. 只是
keep vt. 保有
keeper n. 管理者
key n. 鑰匙 vt.鍵入 (2) adv.關鍵的
kick vt. 踢
kid n. 小孩
kill vt. 殺死
kind adj. 善良 (2) n.種類
king n. 國王
kiss vt. 吻
kitchen n. 廚房
kite n. 風箏
kitten/kitty n. 小貓
knee n. 膝蓋
knife n. 刀
know vt. 知道
lack vt. 缺少
lady n. 女士
lake n. 湖泊
lamb n. 小羊
lamp n. 燈
land n.陸地 vi., vt. (使)降落
large adj. 寬的
last adj. 最後的 (2) vi.持續
late adj. 遲的
laugh vi. 笑
law n. 法律
lay vt. 放；下蛋
lazy adj. 懶散的
lead n. 領先；線索
leader n. 領袖
leaf n. 葉子
learn vt. 學習
least adj. 最小的
leave vt. 離開
left adj. 左方的
leg n. 腿
less adj. 較少的
lesson n. 一課
let vt. 讓
letter n. (1)信件 (2)字母
level n. 階級
lie vi. 躺
life n. 生命
lift vt. 舉起
light n.光 vt. vi.照亮 adj. 明亮的 (2) adj. 淺色的；輕的
like prep. 像 (2) vt.喜歡
likely adj. 很可能的
lily n. 百合
line n. 線
lion n. 獅子
lip n. 嘴唇
list n. 表單
listen vt. 聽
little adj. 小的 adv. 少
live adj. 活的 (2) vi.活著
long adj. 長的 (2) vi.渴望
look vi. vt. 看
lot n. 很多；籤；一塊地
loud adj. 大聲的
love n., vt. 愛
low adj. 低的
lucky adj. 幸運的
lunch/luncheon n. 午餐
machine n. 機器
mad adj. 發飆的
mail n. 郵件
make vt. 做
man n. 男人
many adj. 許多的
map n. 地圖
March/Mar. n. 三月
market n. 市場
marry vt. 嫁娶
master n. 主人(2) vt. 精通
match n. (1) 比賽
matter n. 事件 (2) vi.重要
May n. 五月
may aux. 可能
maybe adv. 或許
me pron. (受格)我
mean vt. 表…意思 (2) adj.吝嗇
meat n. 肉
meet vt. 遇見
middle adj. 中間的
mile n. 英里
milk n. 牛奶
mind n. 心智
minute n. 分鐘
Miss/miss n. 小姐
miss vt. 想念
mistake n. 錯誤
moment n. 瞬間
mommy/momma/mom n. 媽媽
Monday/Mon. n. 星期一
money n. 錢
